participant_number;epoch;session;task;correct;count;participant
2;5;2;color;131;216;37
2;6;1;color;139;216;37
2;6;2;color;124;216;37
3;1;1;color;46;216;38
3;1;2;color;68;216;38
3;2;1;color;44;216;38
3;2;2;color;71;216;38
3;3;1;color;53;216;38
3;3;2;color;78;216;38
3;4;1;color;56;216;38
3;4;2;color;87;216;38
3;5;1;color;50;216;38
3;5;2;color;81;216;38
3;6;1;color;57;216;38
3;6;2;color;80;216;38
4;1;1;color;52;216;39
4;1;2;color;72;216;39
4;2;1;color;68;216;39
4;2;2;color;84;216;39
4;3;1;color;61;216;39
4;3;2;color;83;216;39
4;4;1;color;67;216;39
4;4;2;color;62;216;39
4;5;1;color;65;216;39
4;5;2;color;76;216;39
4;6;1;color;58;216;39
4;6;2;color;78;216;39
5;1;1;color;50;216;40
5;1;2;color;54;216;40
5;2;1;color;30;216;40
5;2;2;color;61;216;40
5;3;1;color;42;216;40
5;3;2;color;60;216;40
5;4;1;color;37;216;40
5;4;2;color;64;216;40
5;5;1;color;55;216;40
5;5;2;color;75;216;40
5;6;1;color;54;216;40
5;6;2;color;72;216;40
6;1;1;color;39;216;41
6;1;2;color;75;216;41
6;2;1;color;21;216;41
6;2;2;color;73;216;41
6;3;1;color;23;216;41
6;3;2;color;56;216;41
6;4;1;color;39;216;41
6;4;2;color;58;216;41
6;5;1;color;60;216;41
6;5;2;color;78;216;41
6;6;1;color;55;216;41
6;6;2;color;66;216;41
7;1;1;color;56;216;42
7;1;2;color;69;216;42
7;2;1;color;47;216;42
7;2;2;color;52;216;42
7;3;1;color;42;216;42
7;3;2;color;57;216;42
7;4;1;color;34;216;42
7;4;2;color;51;216;42
7;5;1;color;41;216;42
7;5;2;color;61;216;42
7;6;1;color;33;216;42
7;6;2;color;55;216;42
8;1;1;color;41;216;43
8;1;2;color;44;216;43
8;2;1;color;40;216;43
8;2;2;color;50;216;43
8;3;1;color;42;216;43
8;3;2;color;58;216;43
8;4;1;color;29;216;43
8;4;2;color;41;216;43
8;5;1;color;34;216;43
8;5;2;color;39;216;43
8;6;1;color;38;216;43
8;6;2;color;44;216;43
9;1;1;color;57;216;44
9;1;2;color;51;216;44
9;2;1;color;65;216;44
9;2;2;color;56;216;44
9;3;1;color;49;216;44
9;3;2;color;84;216;44
9;4;1;color;50;216;44
9;4;2;color;83;216;44
9;5;1;color;52;216;44
9;5;2;color;64;216;44
9;6;1;color;57;216;44
9;6;2;color;64;216;44
10;1;1;color;97;216;45
10;1;2;color;175;216;45
10;2;1;color;115;216;45
10;2;2;color;172;216;45
10;3;1;color;141;216;45
10;3;2;color;162;216;45
10;4;1;color;153;216;45
10;4;2;color;159;216;45
10;5;1;color;172;216;45
10;5;2;color;159;216;45
10;6;1;color;141;216;45
10;6;2;color;152;216;45
11;1;1;color;86;216;46
11;1;2;color;73;216;46
11;2;1;color;48;216;46
11;2;2;color;64;216;46
11;3;1;color;43;216;46
11;3;2;color;53;216;46
11;4;1;color;69;216;46
11;4;2;color;47;216;46
11;5;1;color;53;216;46
11;5;2;color;53;216;46
11;6;1;color;55;216;46
11;6;2;color;43;216;46
12;1;1;color;39;216;47
12;1;2;color;60;216;47
12;2;1;color;55;216;47
12;2;2;color;59;216;47
12;3;1;color;51;216;47
12;3;2;color;76;216;47
12;4;1;color;45;216;47
12;4;2;color;69;216;47
12;5;1;color;56;216;47
12;5;2;color;64;216;47
12;6;1;color;60;216;47
12;6;2;color;76;216;47
13;1;1;color;60;216;48
13;1;2;color;80;216;48
13;2;1;color;45;216;48
13;2;2;color;67;216;48
13;3;1;color;50;216;48
13;3;2;color;56;216;48
13;4;1;color;57;216;48
13;4;2;color;52;216;48
13;5;1;color;47;216;48
13;5;2;color;49;216;48
13;6;1;color;54;216;48
13;6;2;color;48;216;48
14;1;1;color;76;216;49
14;1;2;color;91;216;49
14;2;1;color;79;216;49
14;2;2;color;82;216;49
14;3;1;color;96;216;49
14;3;2;color;102;216;49
14;4;1;color;103;216;49
14;4;2;color;86;216;49
14;5;1;color;80;216;49
14;5;2;color;81;216;49
14;6;1;color;77;216;49
14;6;2;color;107;216;49
15;1;1;color;63;216;50
15;1;2;color;134;216;50
15;2;1;color;86;216;50
15;2;2;color;128;216;50
15;3;1;color;102;216;50
15;3;2;color;132;216;50
15;4;1;color;122;216;50
15;4;2;color;122;216;50
15;5;1;color;118;216;50
15;5;2;color;133;216;50
15;6;1;color;105;216;50
15;6;2;color;133;216;50
16;1;1;color;133;216;51
16;1;2;color;165;216;51
16;2;1;color;136;216;51
16;2;2;color;156;216;51
16;3;1;color;164;216;51
16;3;2;color;174;216;51
16;4;1;color;151;216;51
16;4;2;color;155;216;51
16;5;1;color;140;216;51
16;5;2;color;155;216;51
16;6;1;color;148;216;51
16;6;2;color;140;216;51
17;1;1;color;101;216;52
17;1;2;color;134;216;52
17;2;1;color;115;216;52
17;2;2;color;146;216;52
17;3;1;color;105;216;52
17;3;2;color;133;216;52
17;4;1;color;100;216;52
17;4;2;color;126;216;52
17;5;1;color;120;216;52
17;5;2;color;140;216;52
17;6;1;color;136;216;52
17;6;2;color;121;216;52
18;1;1;color;56;216;53
18;1;2;color;78;216;53
18;2;1;color;68;216;53
18;2;2;color;85;216;53
18;3;1;color;75;216;53
18;3;2;color;87;216;53
18;4;1;color;77;216;53
18;4;2;color;80;216;53
18;5;1;color;91;216;53
18;5;2;color;91;216;53
18;6;1;color;87;216;53
18;6;2;color;88;216;53
