participant_number;condition;session;epoch;task;difference;participant
3;high;2;3;gray;6.736111111;21
3;high;2;4;gray;7.986111111;21
3;high;2;5;gray;7.986111111;21
3;high;2;6;gray;0.486111111;21
3;low;1;1;gray;21.66666667;21
3;low;1;2;gray;11.66666667;21
3;low;1;3;gray;9.166666667;21
3;low;1;4;gray;4.166666667;21
3;low;1;5;gray;4.166666667;21
3;low;1;6;gray;1.666666667;21
3;low;2;1;gray;5.486111111;21
3;low;2;2;gray;7.986111111;21
3;low;2;3;gray;-2.013888889;21
3;low;2;4;gray;10.48611111;21
3;low;2;5;gray;-2.013888889;21
3;low;2;6;gray;0.486111111;21
4;high;1;1;gray;-3.993055556;22
4;high;1;2;gray;-1.493055556;22
4;high;1;3;gray;-0.243055556;22
4;high;1;4;gray;2.256944444;22
4;high;1;5;gray;3.506944444;22
4;high;1;6;gray;-2.743055556;22
4;high;2;1;gray;0.520833333;22
4;high;2;2;gray;-1.979166667;22
4;high;2;3;gray;-0.729166667;22
4;high;2;4;gray;3.020833333;22
4;high;2;5;gray;3.020833333;22
4;high;2;6;gray;-4.479166667;22
4;low;1;1;gray;-5.243055556;22
4;low;1;2;gray;-0.243055556;22
4;low;1;3;gray;-2.743055556;22
4;low;1;4;gray;-5.243055556;22
4;low;1;5;gray;2.256944444;22
4;low;1;6;gray;-2.743055556;22
4;low;2;1;gray;-6.979166667;22
4;low;2;2;gray;-4.479166667;22
4;low;2;3;gray;-9.479166667;22
4;low;2;4;gray;-4.479166667;22
4;low;2;5;gray;-6.979166667;22
4;low;2;6;gray;-1.979166667;22
5;high;1;1;gray;-5.277777778;23
5;high;1;2;gray;-12.77777778;23
5;high;1;3;gray;-9.027777778;23
5;high;1;4;gray;-6.527777778;23
5;high;1;5;gray;-11.52777778;23
5;high;1;6;gray;-11.52777778;23
5;high;2;1;gray;-5.520833333;23
5;high;2;2;gray;-6.770833333;23
5;high;2;3;gray;-8.020833333;23
5;high;2;4;gray;-9.270833333;23
5;high;2;5;gray;-13.02083333;23
5;high;2;6;gray;-13.02083333;23
5;low;1;1;gray;15.97222222;23
5;low;1;2;gray;-6.527777778;23
5;low;1;3;gray;-4.027777778;23
5;low;1;4;gray;-6.527777778;23
5;low;1;5;gray;-9.027777778;23
5;low;1;6;gray;-4.027777778;23
5;low;2;1;gray;-5.520833333;23
5;low;2;2;gray;-5.520833333;23
5;low;2;3;gray;-8.020833333;23
5;low;2;4;gray;-8.020833333;23
5;low;2;5;gray;-10.52083333;23
5;low;2;6;gray;-8.020833333;23
6;high;1;1;gray;2.638888889;24
6;high;1;2;gray;11.38888889;24
6;high;1;3;gray;-6.111111111;24
6;high;1;4;gray;-1.111111111;24
6;high;1;5;gray;-1.111111111;24
6;high;1;6;gray;0.138888889;24
6;high;2;1;gray;-1.5625;24
6;high;2;2;gray;-1.5625;24
6;high;2;3;gray;-2.8125;24
6;high;2;4;gray;2.1875;24
6;high;2;5;gray;-2.8125;24
6;high;2;6;gray;-4.0625;24
6;low;1;1;gray;10.13888889;24
6;low;1;2;gray;12.63888889;24
6;low;1;3;gray;7.638888889;24
6;low;1;4;gray;10.13888889;24
6;low;1;5;gray;-7.361111111;24
6;low;1;6;gray;17.63888889;24
6;low;2;1;gray;5.9375;24
6;low;2;2;gray;13.4375;24
6;low;2;3;gray;5.9375;24
6;low;2;4;gray;3.4375;24
6;low;2;5;gray;8.4375;24
6;low;2;6;gray;0.9375;24
7;high;1;1;gray;1.805555556;25
7;high;1;2;gray;0.555555556;25
7;high;1;3;gray;-6.944444444;25
7;high;1;4;gray;-1.944444444;25
7;high;1;5;gray;-8.194444444;25
7;high;1;6;gray;0.555555556;25
7;high;2;1;gray;-3.611111111;25
7;high;2;2;gray;1.388888889;25
7;high;2;3;gray;-1.111111111;25
7;high;2;4;gray;-2.361111111;25
7;high;2;5;gray;5.138888889;25
7;high;2;6;gray;2.638888889;25
7;low;1;1;gray;-0.694444444;25
7;low;1;2;gray;14.30555556;25
7;low;1;3;gray;9.305555556;25
7;low;1;4;gray;1.805555556;25
7;low;1;5;gray;1.805555556;25
7;low;1;6;gray;4.305555556;25
7;low;2;1;gray;5.138888889;25
7;low;2;2;gray;2.638888889;25
7;low;2;3;gray;5.138888889;25
7;low;2;4;gray;2.638888889;25
7;low;2;5;gray;7.638888889;25
7;low;2;6;gray;0.138888889;25
8;high;1;1;gray;18.85416667;26
8;high;1;2;gray;-2.395833333;26
8;high;1;3;gray;3.854166667;26
8;high;1;4;gray;7.604166667;26
8;high;1;5;gray;-3.645833333;26
8;high;1;6;gray;-4.895833333;26
8;high;2;1;gray;-12.36111111;26
8;high;2;2;gray;-9.861111111;26
8;high;2;3;gray;-3.611111111;26
8;high;2;4;gray;-6.111111111;26
8;high;2;5;gray;-7.361111111;26
8;high;2;6;gray;-7.361111111;26
8;low;1;1;gray;18.85416667;26
8;low;1;2;gray;-1.145833333;26
8;low;1;3;gray;6.354166667;26
8;low;1;4;gray;13.85416667;26
8;low;1;5;gray;1.354166667;26
8;low;1;6;gray;11.35416667;26
8;low;2;1;gray;-1.111111111;26
8;low;2;2;gray;-1.111111111;26
8;low;2;3;gray;1.388888889;26
8;low;2;4;gray;3.888888889;26
8;low;2;5;gray;6.388888889;26
8;low;2;6;gray;3.888888889;26
9;high;1;1;gray;29.65277778;27
9;high;1;2;gray;37.15277778;27
9;high;1;3;gray;8.402777778;27
9;high;1;4;gray;4.652777778;27
9;high;1;5;gray;7.152777778;27
9;high;1;6;gray;3.402777778;27
9;high;2;1;gray;3.784722222;27
9;high;2;2;gray;-4.965277778;27
9;high;2;3;gray;-7.465277778;27
9;high;2;4;gray;-7.465277778;27
9;high;2;5;gray;-6.215277778;27
9;high;2;6;gray;-8.715277778;27
9;low;1;1;gray;19.65277778;27
9;low;1;2;gray;19.65277778;27
9;low;1;3;gray;-2.847222222;27
9;low;1;4;gray;4.652777778;27
9;low;1;5;gray;-0.347222222;27
9;low;1;6;gray;9.652777778;27
9;low;2;1;gray;-2.465277778;27
9;low;2;2;gray;7.534722222;27
9;low;2;3;gray;-7.465277778;27
9;low;2;4;gray;-4.965277778;27
9;low;2;5;gray;-9.965277778;27
9;low;2;6;gray;2.534722222;27
10;high;1;1;gray;-2.708333333;28
10;high;1;2;gray;4.791666667;28
10;high;1;3;gray;-2.708333333;28
10;high;1;4;gray;2.291666667;28
10;high;1;5;gray;1.041666667;28
10;high;1;6;gray;-2.708333333;28
10;high;2;1;gray;-1.006944444;28
10;high;2;2;gray;-2.256944444;28
10;high;2;3;gray;-6.006944444;28
10;high;2;4;gray;0.243055556;28
10;high;2;5;gray;-7.256944444;28
10;high;2;6;gray;1.493055556;28
10;low;1;1;gray;-3.958333333;28
10;low;1;2;gray;3.541666667;28
10;low;1;3;gray;-6.458333333;28
10;low;1;4;gray;-1.458333333;28
10;low;1;5;gray;-6.458333333;28
10;low;1;6;gray;1.041666667;28
10;low;2;1;gray;-4.756944444;28
10;low;2;2;gray;-4.756944444;28
10;low;2;3;gray;0.243055556;28
10;low;2;4;gray;-4.756944444;28
10;low;2;5;gray;-4.756944444;28
10;low;2;6;gray;-2.256944444;28
11;high;1;1;gray;16.00694444;29
11;high;1;2;gray;-12.74305556;29
11;high;1;3;gray;2.256944444;29
11;high;1;4;gray;-8.993055556;29
11;high;1;5;gray;-12.74305556;29
11;high;1;6;gray;-2.743055556;29
11;high;2;1;gray;8.402777778;29
11;high;2;2;gray;0.902777778;29
11;high;2;3;gray;0.902777778;29
11;high;2;4;gray;2.152777778;29
11;high;2;5;gray;0.902777778;29
11;high;2;6;gray;-0.347222222;29
11;low;1;1;gray;18.50694444;29
11;low;1;2;gray;6.006944444;29
11;low;1;3;gray;1.006944444;29
11;low;1;4;gray;6.006944444;29
11;low;1;5;gray;3.506944444;29
11;low;1;6;gray;-1.493055556;29
11;low;2;1;gray;4.652777778;29
11;low;2;2;gray;2.152777778;29
11;low;2;3;gray;2.152777778;29
11;low;2;4;gray;-2.847222222;29
11;low;2;5;gray;2.152777778;29
11;low;2;6;gray;12.15277778;29
